,gentleman,question,order,committee,concern,impact,million,step,decision,act
debates2023-06-28d.txt,2.0117157,1.8858465,1.9694456,1.9784082,2.0146341,1.7875787,1.7942514,1.8756112,1.8541868,1.7705407
debates2023-06-29a.txt,1.5741633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
debates2023-06-29b.txt,2.072354,1.9294394,1.897147,1.9068613,1.9466434,1.8504287,1.7918684,1.9314734,1.8778396,1.7386676
debates2023-07-03a.txt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
debates2023-07-03b.txt,1.983454,1.9089285,1.8265649,1.8824766,1.9982866,1.8328229,1.7612718,1.8190823,1.9520184,1.8261067
Σ (sum),775.30054,762.0054,751.9074,749.0132,746.6675,742.06165,742.02075,741.47046,740.68994,740.0522
