,dim0,dim1,dim2,dim3,dim4,dim5,dim6,dim7,dim8,dim9
debates2023-06-28d.txt,0.0720764,-0.59204113,0.12300765,-0.38307554,-0.22391582,1.0909586,-0.33862168,-0.6542057,-0.18021236,0.026109796
debates2023-06-29a.txt,-0.48731795,-0.8151134,0.054688733,-0.8368559,-0.20106359,1.4533694,-0.9432405,-0.68620735,-0.16245802,0.14329694
debates2023-06-29b.txt,-0.0117127355,-0.7803045,0.09886982,-0.49332777,-0.19515374,1.2057868,-0.42270264,-0.6426345,-0.18153521,0.1088698
debates2023-07-03a.txt,0.06527679,-1.0741084,0.3021631,-0.38163996,-0.001423847,1.5280814,-0.6097178,-0.97204137,-0.05766694,0.16491027
debates2023-07-03b.txt,0.11014914,-0.61111504,0.12064942,-0.36067197,-0.2249338,1.1248133,-0.3619572,-0.55851376,-0.09290473,0.08194278
